cedula,fechaingresoEmpresa,tituloTercerNivel,nombreEmpresa,numeroTarjetaCredito,nombre,apellido,direccion,correo_electronico,fecha_nacimiento,edad,provinciaNacimiento,genero,marca_tarjetaCredito,ingresoAnual
2451704974,2014-03-15,Licenciado/a,Desarrollos Innovadores,3167-6140-8146-7740,Kayla,Richardson,"02991 Jeffery Harbors Apt. 076
Ashleymouth, ID 81692",brownmary@example.net,1989-12-09,34,Santa Elena,Femenino,Marca no conocida,23000
0681759200,2008-12-09,Licenciado/a,Grupo Tecnológico,3857-9253-0028-8989,Thomas,Kelley,"21347 Johnson Inlet
Jonathanberg, HI 42220",tthompson@example.com,1978-01-07,46,Chimborazo,Masculino,Marca no conocida,21000
1570342897,1960-05-03,Doctor/a,Grupo Tecnológico,0223-4580-0575-6474,Connor,Roberts,"838 Julie Branch
Pamelastad, SD 96720",mford@example.org,1973-01-27,51,Napo,Masculino,Marca no conocida,41000
0319307751,1970-01-12,Ingeniero/a,Soluciones Integrales,5592-8680-4874-0618,James,Hester,"1868 Brenda Walk
East Luis, FM 00538",samuelscott@example.org,1972-09-28,51,Cañar,Masculino,MasterCard,31000
1944437987,2020-07-18,Ingeniero/a,Grupo Tecnológico,9769-4182-6886-5301,Heidi,Snyder,"252 Catherine Lane Apt. 608
East John, MP 08304",tracy34@example.net,1977-10-28,46,Zamora Chinchipe,Femenino,Marca no conocida,35000
0585839585,1970-06-12,Licenciado/a,Grupo Tecnológico,8587-2168-2200-5791,Kristin,Bush,"55664 Regina Parkways Apt. 586
Port Susan, DE 71225",chad90@example.net,1985-05-03,39,Cotopaxi,Femenino,Marca no conocida,21000
2040308057,1998-07-12,Arquitecto/a,Grupo Tecnológico,3402-1703-2649-9932,Kevin,Olson,"3024 Derrick Court
East David, NY 12013",vroberts@example.com,1989-01-04,35,Galápagos,Masculino,Marca no conocida,29000
2196699241,1974-03-05,Arquitecto/a,Soluciones Integrales,2538-2375-0191-7643,Kristina,Lee,"6184 Holt Oval
Maryberg, WA 37842",sharonwilson@example.org,1980-10-23,43,Sucumbíos,Femenino,Marca no conocida,29000
1261300050,1961-03-17,Ingeniero/a,Sistemas Avanzados,9782-8681-0738-9602,Jason,Cole,"316 Shirley Throughway Suite 079
New Christinafort, MA 78297",ryan56@example.net,1970-07-18,53,Los Ríos,Masculino,Marca no conocida,30000
1345304061,2000-12-09,Arquitecto/a,Desarrollos Innovadores,8023-2608-6247-3883,Lisa,Brown,"162 Johnson Plain Suite 453
East Kimberlychester, MP 73775",clarklauren@example.com,1970-12-17,53,Manabí,Femenino,Marca no conocida,25000
2251373604,2003-10-27,Licenciado/a,Sistemas Avanzados,9703-0715-4597-0564,Julie,Schmidt,"56176 Morris Estates Suite 206
East Tashaborough, PR 30363",tina34@example.com,1985-10-31,38,Orellana,Femenino,Marca no conocida,21000
0512074626,2015-12-11,Ingeniero/a,Soluciones Integrales,7478-8925-5091-0657,Alisha,Bailey,"85764 Crawford Coves Suite 498
Lake John, GU 94773",watkinselizabeth@example.net,1974-01-24,50,Cotopaxi,Femenino,Marca no conocida,33000
1507973732,1993-11-01,Doctor/a,Sistemas Avanzados,7305-6956-8759-6951,Roberto,Jones,"69420 Carter Prairie
Port Kristen, OR 89348",peter91@example.org,1977-12-06,46,Napo,Masculino,Marca no conocida,45000
0501455748,1974-04-24,Doctor/a,Soluciones Integrales,8099-5807-4634-7983,Erik,Williams,"06283 Byrd Landing Apt. 740
North Bethany, VI 29695",michele95@example.org,1985-08-16,38,Cotopaxi,Masculino,Marca no conocida,45000
1056729185,1976-06-08,Ingeniero/a,Desarrollos Innovadores,1686-5952-7794-6067,Amy,Horne,"Unit 8707 Box 8221
DPO AP 38433",patriciaparrish@example.org,1984-02-27,40,Imbabura,Femenino,Marca no conocida,31000
0714373913,1978-01-01,Ingeniero/a,Sistemas Avanzados,3240-5152-9388-8502,Steven,Hart,"06853 David Island Apt. 344
North Patriciaberg, OK 04959",patricia75@example.org,1984-08-30,39,El Oro,Masculino,Marca no conocida,33000
1165329677,2010-10-14,Licenciado/a,Desarrollos Innovadores,6621-8030-2638-2678,Brad,Webb,"429 Samantha Avenue
Lake Feliciafort, MS 43822",nicholaslewis@example.net,1982-05-27,41,Loja,Masculino,Marca no conocida,22000
0212153433,1962-07-09,Arquitecto/a,Sistemas Avanzados,7843-1409-4890-8361,Emily,Adams,"50360 Betty Streets
North Richardtown, VA 62944",seanfoley@example.com,1990-08-11,33,Bolivar,Femenino,Marca no conocida,27000
2367942062,1969-06-29,Licenciado/a,Soluciones Integrales,3729-1390-5961-7050,Jeffery,Russell,"9654 John Lodge Suite 129
Lake Sarahmouth, GA 20931",wilsonjessica@example.org,1982-02-11,42,Santo Domingo de los Tsáchilas,Masculino,Marca no conocida,25000
0385623715,1987-09-09,Arquitecto/a,Soluciones Integrales,4534-5296-6125-8296,Samantha,Stewart,"30304 James Shore Suite 242
South Alexandraview, AK 64599",alisonburnett@example.com,1978-07-27,45,Cañar,Femenino,Visa,29000
0569859260,2016-03-17,Ingeniero/a,Soluciones Integrales,1798-4946-8873-8623,Joyce,King,"0371 Cameron Ferry Suite 309
New Karenview, ND 77036",dylan65@example.net,1974-10-09,49,Cotopaxi,Femenino,Marca no conocida,30000
1476406089,2017-04-13,Licenciado/a,Grupo Tecnológico,5927-7569-8924-9598,Ronald,Thompson,"87889 Joshua Skyway
Drewberg, MI 94846",mcollins@example.net,1975-09-25,48,Morona Santiago,Masculino,Marca no conocida,22000
3008334160,1984-02-09,Arquitecto/a,Sistemas Avanzados,9467-4985-8669-4647,Donna,Sanders,"7175 Lowe Fork
Lake Kimberly, IL 15916",bennettdavid@example.org,1986-05-21,38,Fuera del país,Femenino,Marca no conocida,26000
3091817693,2002-02-15,Ingeniero/a,Sistemas Avanzados,8229-3610-1445-9690,Nathan,Dawson,"27123 Katie Ville
Micheleshire, MN 44001",walkerjessica@example.com,1988-11-22,35,Fuera del país,Masculino,Marca no conocida,32000
2181125974,1987-02-19,Ingeniero/a,Desarrollos Innovadores,5561-2740-1543-9791,James,Galvan,"4642 Richard Mountains
South Franciscofurt, WA 36621",dmann@example.com,1981-11-10,42,Sucumbíos,Masculino,MasterCard,34000
0139503924,1960-05-03,Ingeniero/a,Soluciones Integrales,9826-9089-1612-7860,Ashley,Stewart,"65757 Brown Fort Apt. 175
Gibbsview, NC 17245",morrisjoseph@example.com,1987-11-04,36,Azuay,Femenino,Marca no conocida,34000
2308683785,1992-07-21,Ingeniero/a,Grupo Tecnológico,5885-9526-0203-0483,Victoria,Griffith,"8618 Gomez Crossing
South Michealhaven, GA 89317",dmiles@example.com,1977-11-22,46,Santo Domingo de los Tsáchilas,Femenino,Marca no conocida,31000
1721746765,2010-04-01,Ingeniero/a,Grupo Tecnológico,1495-9615-0319-5023,Christopher,Scott,"55140 Richmond Falls
East Taylorburgh, KY 55565",heatherreed@example.net,1979-02-02,45,Pichincha,Masculino,Marca no conocida,32000
2422375043,1966-02-17,Ingeniero/a,Desarrollos Innovadores,1661-4072-6099-7492,Christina,Lopez,"904 Owens Throughway
Andreahaven, CT 61310",cwatkins@example.net,1985-01-10,39,Santa Elena,Femenino,Marca no conocida,30000
0505763706,2002-03-16,Ingeniero/a,Soluciones Integrales,6305-9741-4718-4676,James,Mclean,"241 Ann Viaduct
Port Michaelfort, PW 58828",callen@example.org,1980-12-23,43,Cotopaxi,Masculino,Marca no conocida,35000
1816727627,2007-03-29,Ingeniero/a,Soluciones Integrales,8110-8418-8171-3131,Cody,Perez,"689 Harvey Via Suite 262
Lauraside, ND 97746",christopher86@example.com,1989-06-29,34,Tungurahua,Masculino,Marca no conocida,32000
0690248960,2011-01-13,Arquitecto/a,Desarrollos Innovadores,4503-2293-9976-8844,Douglas,Johnson,"329 Erin Springs
Leonardchester, OK 61526",thompsonamber@example.com,1980-10-11,43,Chimborazo,Masculino,Visa,26000
1028857360,1987-01-26,Licenciado/a,Soluciones Integrales,3668-8901-4769-8272,Julie,Foster,"8162 Whitney Springs
Barrerafurt, VA 28871",ginastout@example.net,1986-12-18,37,Imbabura,Femenino,Marca no conocida,21000
0577199203,1986-05-12,Doctor/a,Soluciones Integrales,3546-8592-3872-8470,Dillon,Livingston,"96867 Albert Summit Apt. 120
New Kristinefort, VI 37340",james68@example.org,1974-07-18,49,Cotopaxi,Masculino,Marca no conocida,41000
0539133375,2005-02-19,Ingeniero/a,Sistemas Avanzados,6028-1957-3883-6651,Christina,Peterson,"83418 Erickson Crossroad
Anthonyville, WA 82265",michaeltrujillo@example.net,1978-05-28,45,Cotopaxi,Femenino,Marca no conocida,30000
1150008580,2004-06-30,Licenciado/a,Soluciones Integrales,6716-4308-4112-3330,Aaron,Thompson,"9927 Henson Ridge Suite 270
Emilyshire, DC 35105",amy96@example.net,1984-07-29,39,Loja,Masculino,Marca no conocida,20000
2488867010,1994-01-22,Doctor/a,Grupo Tecnológico,1307-6845-5296-6408,Shelly,Ellis,"623 Sarah Centers Suite 341
Grahamhaven, NJ 78501",melissaharris@example.net,1989-10-16,34,Santa Elena,Femenino,Marca no conocida,59000
