cedula,fechaingresoEmpresa,tituloTercerNivel,nombreEmpresa,numeroTarjetaCredito
2451704974,2014-03-15,Licenciado/a,Desarrollos Innovadores,3167-6140-8146-7740
0681759200,2008-12-09,Licenciado/a,Grupo Tecnológico,3857-9253-0028-8989
1570342897,1960-05-03,Doctor/a,Grupo Tecnológico,0223-4580-0575-6474
0319307751,1970-01-12,Ingeniero/a,Soluciones Integrales,5592-8680-4874-0618
1944437987,2020-07-18,Ingeniero/a,Grupo Tecnológico,9769-4182-6886-5301
0585839585,1970-06-12,Licenciado/a,Grupo Tecnológico,8587-2168-2200-5791
2040308057,1998-07-12,Arquitecto/a,Grupo Tecnológico,3402-1703-2649-9932
2196699241,1974-03-05,Arquitecto/a,Soluciones Integrales,2538-2375-0191-7643
1261300050,1961-03-17,Ingeniero/a,Sistemas Avanzados,9782-8681-0738-9602
1345304061,2000-12-09,Arquitecto/a,Desarrollos Innovadores,8023-2608-6247-3883
2251373604,2003-10-27,Licenciado/a,Sistemas Avanzados,9703-0715-4597-0564
0512074626,2015-12-11,Ingeniero/a,Soluciones Integrales,7478-8925-5091-0657
1507973732,1993-11-01,Doctor/a,Sistemas Avanzados,7305-6956-8759-6951
0501455748,1974-04-24,Doctor/a,Soluciones Integrales,8099-5807-4634-7983
1056729185,1976-06-08,Ingeniero/a,Desarrollos Innovadores,1686-5952-7794-6067
0714373913,1978-01-01,Ingeniero/a,Sistemas Avanzados,3240-5152-9388-8502
1165329677,2010-10-14,Licenciado/a,Desarrollos Innovadores,6621-8030-2638-2678
0212153433,1962-07-09,Arquitecto/a,Sistemas Avanzados,7843-1409-4890-8361
2367942062,1969-06-29,Licenciado/a,Soluciones Integrales,3729-1390-5961-7050
0385623715,1987-09-09,Arquitecto/a,Soluciones Integrales,4534-5296-6125-8296
0569859260,2016-03-17,Ingeniero/a,Soluciones Integrales,1798-4946-8873-8623
1476406089,2017-04-13,Licenciado/a,Grupo Tecnológico,5927-7569-8924-9598
3008334160,1984-02-09,Arquitecto/a,Sistemas Avanzados,9467-4985-8669-4647
3091817693,2002-02-15,Ingeniero/a,Sistemas Avanzados,8229-3610-1445-9690
2181125974,1987-02-19,Ingeniero/a,Desarrollos Innovadores,5561-2740-1543-9791
0139503924,1960-05-03,Ingeniero/a,Soluciones Integrales,9826-9089-1612-7860
2308683785,1992-07-21,Ingeniero/a,Grupo Tecnológico,5885-9526-0203-0483
1721746765,2010-04-01,Ingeniero/a,Grupo Tecnológico,1495-9615-0319-5023
2422375043,1966-02-17,Ingeniero/a,Desarrollos Innovadores,1661-4072-6099-7492
