cedula,fechaingresoEmpresa,titulo,empresa,tarjetaCredito,nombre,apellido,direccion,correo_electronico,fecha_nacimiento,edad,provinciaNacimiento,genero,marca_tarjetaCredito,salarioAnual
0100048585,1974-09-14,Doctor/a,Desarrollos Innovadores,9015-2383-6543-6701,Madison,Fisher,"9264 Martinez Pass
Wilcoxmouth, NE 67748",jessicawilliamson@example.org,1979-12-23,44,Azuay,Femenino,Marca no conocida,43000
0100670486,2006-07-11,Licenciado/a,Sistemas Avanzados,8261-5925-7650-1097,Vickie,Schneider,"83888 Timothy Port
Joannashire, SD 72954",jensenmarcus@example.org,1980-06-02,43,Azuay,Femenino,Marca no conocida,23000
0101091243,2018-01-16,Doctor/a,Grupo TecnolÃ³gico,2174-3945-6858-8905,David,Delacruz,"6015 Maldonado Crossroad
Hardinville, WA 02750",morganbryan@example.net,1982-08-11,41,Azuay,Masculino,Marca no conocida,48000
0102460347,2013-07-28,Doctor/a,Grupo TecnolÃ³gico,8024-3820-7982-5983,Vanessa,Miller,"7597 Patrick Prairie Apt. 068
Munozport, NV 68379",katelynlewis@example.org,1975-10-24,48,Azuay,Femenino,Marca no conocida,57000
0106887865,2005-10-12,Arquitecto/a,Grupo TecnolÃ³gico,5291-8933-2270-8450,Nancy,Flores,"902 Young Terrace
Johnborough, MH 05188",caldwelljonathan@example.com,1988-07-20,35,Azuay,Femenino,MasterCard,26000
0108918856,1995-11-15,Doctor/a,Soluciones Integrales,8932-3972-4060-2887,Michael,Ryan,"694 Phillip Isle Suite 551
Anitahaven, PW 85106",amymay@example.com,1986-08-27,37,Azuay,Masculino,Marca no conocida,51000
0110160272,2014-07-10,Ingeniero/a,Desarrollos Innovadores,7721-3102-6566-5800,Alexis,Brown,"92043 Jessica Oval
East Joshuahaven, VI 83357",prestoncarla@example.org,1979-10-07,44,Azuay,Masculino,Marca no conocida,35000
0112172864,2015-09-10,Arquitecto/a,Grupo TecnolÃ³gico,1964-9073-2621-1930,Bobby,Smith,"903 Bruce Crossroad
West Kristin, KY 53438",parrishbrandi@example.net,1988-03-22,36,Azuay,Masculino,Marca no conocida,26000
0113349997,1983-10-14,Licenciado/a,Desarrollos Innovadores,6118-7725-4962-9834,Timothy,Mckinney,"USS Hernandez
FPO AP 37089",arellanodavid@example.net,1984-02-20,40,Azuay,Masculino,Marca no conocida,22000
0116484870,1975-09-29,Licenciado/a,Desarrollos Innovadores,0793-0793-0339-6819,Stephanie,Sanchez,"209 Phillips Via
Dyerhaven, VI 11609",montgomerythomas@example.org,1974-11-09,49,Azuay,Femenino,Marca no conocida,23000
0116845760,2016-12-11,Doctor/a,Grupo TecnolÃ³gico,5687-2617-7931-8218,Christopher,Richardson,"012 Helen Gardens Suite 280
Holmesmouth, MN 20324",lukegarcia@example.com,1972-11-17,51,Azuay,Masculino,Marca no conocida,53000
0118520536,1976-07-16,Arquitecto/a,Sistemas Avanzados,1197-2037-6766-0279,Mariah,Hill,"44422 Sandy Ranch
Douglasshire, ME 36750",pinedasamuel@example.com,1987-10-22,36,Azuay,Femenino,Marca no conocida,29000
0119935514,1982-04-20,Licenciado/a,Grupo TecnolÃ³gico,5039-0002-2018-1890,John,Taylor,"574 Jessica Estates Suite 702
East Emily, VT 61419",katieking@example.net,1974-06-07,49,Azuay,Masculino,Marca no conocida,21000
0120268314,1965-10-19,Ingeniero/a,Grupo TecnolÃ³gico,4219-9269-3948-0524,Nathan,Nelson,"53262 Eric Landing Apt. 626
East Stephanie, WV 43780",vargassherry@example.org,1987-03-01,37,Azuay,Masculino,Visa,34000
0121275901,1982-03-19,Doctor/a,Sistemas Avanzados,5902-6208-9110-6652,Jenny,Bailey,"16037 Cisneros Gardens
South Leonardfort, KY 76322",nicole08@example.org,1981-01-19,43,Azuay,Femenino,Marca no conocida,60000
0129993404,1991-10-13,Doctor/a,Soluciones Integrales,2703-4404-3614-3553,Charles,George,"68347 Baker Ranch Apt. 113
Hollyville, ND 54764",millserin@example.net,1979-11-18,44,Azuay,Masculino,Marca no conocida,54000
0133516637,1977-01-01,Arquitecto/a,Grupo TecnolÃ³gico,1796-8712-7114-3799,Andrew,Nguyen,"639 Mark Trace Suite 827
South Juliehaven, AL 06922",daniel44@example.com,1974-04-23,50,Azuay,Masculino,Marca no conocida,26000
0135697448,1964-05-29,Licenciado/a,Soluciones Integrales,6810-7763-9708-1353,Tanya,Johnson,"5162 Ruiz Stream Suite 541
South Nicole, MS 83379",gomezkristen@example.com,1979-02-09,45,Azuay,Femenino,Marca no conocida,24000
0139503924,1960-05-03,Ingeniero/a,Soluciones Integrales,9826-9089-1612-7860,Tammy,Rhodes,"850 Carmen Extension
Brownfurt, WA 65031",kelleybenjamin@example.net,1979-08-14,44,Azuay,Femenino,Marca no conocida,30000
